grid_id,lat_grid,lon_grid,osm_feature_count,osm_industrial_count,osm_power_count,osm_manmade_count,osm_min_distance_m
23.78_85.42,23.78,85.42,0,0,0,0,2000.0
23.78_85.44,23.78,85.44,0,0,0,0,2000.0
23.78_85.46,23.78,85.46000000000001,0,0,0,0,2000.0
23.78_85.47,23.78,85.47,4,0,0,4,1501.0600591588357
23.78_85.48,23.78,85.48,4,0,0,4,670.3102049009474
23.78_85.49,23.78,85.49,4,0,0,4,933.3572526625127
23.79_85.37,23.79,85.37,0,0,0,0,2000.0
23.79_85.38,23.79,85.38,0,0,0,0,2000.0
23.79_85.4,23.79,85.4,0,0,0,0,2000.0
23.79_85.42,23.79,85.42,0,0,0,0,2000.0
23.79_85.43,23.79,85.43,0,0,0,0,2000.0
23.79_85.44,23.79,85.44,0,0,0,0,2000.0
23.79_85.48,23.79,85.48,2,0,0,2,1850.6337591140948
23.79_85.49,23.79,85.49,0,0,0,0,2000.0
